sk_date,full_date,year_month,year_quarter,month_sort_key,day_num,day_name,week_num,month_num,month_name,quarter_num,semester_num,year_num,is_weekend,is_holiday,country_code
1,2024-01-01,2024-01,2024-Q1,202401,1,Monday,1,1,January,1,1,2024,0,1,FR
2,2024-01-02,2024-01,2024-Q1,202401,2,Tuesday,1,1,January,1,1,2024,0,0,FR
3,2024-01-03,2024-01,2024-Q1,202401,3,Wednesday,1,1,January,1,1,2024,0,0,FR
4,2024-01-04,2024-01,2024-Q1,202401,4,Thursday,1,1,January,1,1,2024,0,0,FR
5,2024-01-05,2024-01,2024-Q1,202401,5,Friday,1,1,January,1,1,2024,0,0,FR
6,2024-01-06,2024-01,2024-Q1,202401,6,Saturday,1,1,January,1,1,2024,1,0,FR
7,2024-01-07,2024-01,2024-Q1,202401,7,Sunday,1,1,January,1,1,2024,1,0,FR
8,2024-01-08,2024-01,2024-Q1,202401,8,Monday,2,1,January,1,1,2024,0,0,FR
9,2024-01-09,2024-01,2024-Q1,202401,9,Tuesday,2,1,January,1,1,2024,0,0,FR
10,2024-01-10,2024-01,2024-Q1,202401,10,Wednesday,2,1,January,1,1,2024,0,0,FR
11,2024-01-11,2024-01,2024-Q1,202401,11,Thursday,2,1,January,1,1,2024,0,0,FR
12,2024-01-12,2024-01,2024-Q1,202401,12,Friday,2,1,January,1,1,2024,0,0,FR
13,2024-01-13,2024-01,2024-Q1,202401,13,Saturday,2,1,January,1,1,2024,1,0,FR
14,2024-01-14,2024-01,2024-Q1,202401,14,Sunday,2,1,January,1,1,2024,1,0,FR
15,2024-01-15,2024-01,2024-Q1,202401,15,Monday,3,1,January,1,1,2024,0,0,FR
16,2024-01-16,2024-01,2024-Q1,202401,16,Tuesday,3,1,January,1,1,2024,0,0,FR
17,2024-01-17,2024-01,2024-Q1,202401,17,Wednesday,3,1,January,1,1,2024,0,0,FR
18,2024-01-18,2024-01,2024-Q1,202401,18,Thursday,3,1,January,1,1,2024,0,0,FR
19,2024-01-19,2024-01,2024-Q1,202401,19,Friday,3,1,January,1,1,2024,0,0,FR
20,2024-01-20,2024-01,2024-Q1,202401,20,Saturday,3,1,January,1,1,2024,1,0,FR
21,2024-01-21,2024-01,2024-Q1,202401,21,Sunday,3,1,January,1,1,2024,1,0,FR
22,2024-01-22,2024-01,2024-Q1,202401,22,Monday,4,1,January,1,1,2024,0,0,FR
23,2024-01-23,2024-01,2024-Q1,202401,23,Tuesday,4,1,January,1,1,2024,0,0,FR
24,2024-01-24,2024-01,2024-Q1,202401,24,Wednesday,4,1,January,1,1,2024,0,0,FR
25,2024-01-25,2024-01,2024-Q1,202401,25,Thursday,4,1,January,1,1,2024,0,0,FR
26,2024-01-26,2024-01,2024-Q1,202401,26,Friday,4,1,January,1,1,2024,0,0,FR
27,2024-01-27,2024-01,2024-Q1,202401,27,Saturday,4,1,January,1,1,2024,1,0,FR
28,2024-01-28,2024-01,2024-Q1,202401,28,Sunday,4,1,January,1,1,2024,1,0,FR
29,2024-01-29,2024-01,2024-Q1,202401,29,Monday,5,1,January,1,1,2024,0,0,FR
30,2024-01-30,2024-01,2024-Q1,202401,30,Tuesday,5,1,January,1,1,2024,0,0,FR
31,2024-01-31,2024-01,2024-Q1,202401,31,Wednesday,5,1,January,1,1,2024,0,0,FR
32,2024-02-01,2024-02,2024-Q1,202402,1,Thursday,5,2,February,1,1,2024,0,0,FR
33,2024-02-02,2024-02,2024-Q1,202402,2,Friday,5,2,February,1,1,2024,0,0,FR
34,2024-02-03,2024-02,2024-Q1,202402,3,Saturday,5,2,February,1,1,2024,1,0,FR
35,2024-02-04,2024-02,2024-Q1,202402,4,Sunday,5,2,February,1,1,2024,1,0,FR
36,2024-02-05,2024-02,2024-Q1,202402,5,Monday,6,2,February,1,1,2024,0,0,FR
37,2024-02-06,2024-02,2024-Q1,202402,6,Tuesday,6,2,February,1,1,2024,0,0,FR
38,2024-02-07,2024-02,2024-Q1,202402,7,Wednesday,6,2,February,1,1,2024,0,0,FR
39,2024-02-08,2024-02,2024-Q1,202402,8,Thursday,6,2,February,1,1,2024,0,0,FR
40,2024-02-09,2024-02,2024-Q1,202402,9,Friday,6,2,February,1,1,2024,0,0,FR
41,2024-02-10,2024-02,2024-Q1,202402,10,Saturday,6,2,February,1,1,2024,1,0,FR
42,2024-02-11,2024-02,2024-Q1,202402,11,Sunday,6,2,February,1,1,2024,1,0,FR
43,2024-02-12,2024-02,2024-Q1,202402,12,Monday,7,2,February,1,1,2024,0,0,FR
44,2024-02-13,2024-02,2024-Q1,202402,13,Tuesday,7,2,February,1,1,2024,0,0,FR
45,2024-02-14,2024-02,2024-Q1,202402,14,Wednesday,7,2,February,1,1,2024,0,0,FR
46,2024-02-15,2024-02,2024-Q1,202402,15,Thursday,7,2,February,1,1,2024,0,0,FR
47,2024-02-16,2024-02,2024-Q1,202402,16,Friday,7,2,February,1,1,2024,0,0,FR
48,2024-02-17,2024-02,2024-Q1,202402,17,Saturday,7,2,February,1,1,2024,1,0,FR
49,2024-02-18,2024-02,2024-Q1,202402,18,Sunday,7,2,February,1,1,2024,1,0,FR
50,2024-02-19,2024-02,2024-Q1,202402,19,Monday,8,2,February,1,1,2024,0,0,FR
51,2024-02-20,2024-02,2024-Q1,202402,20,Tuesday,8,2,February,1,1,2024,0,0,FR
52,2024-02-21,2024-02,2024-Q1,202402,21,Wednesday,8,2,February,1,1,2024,0,0,FR
53,2024-02-22,2024-02,2024-Q1,202402,22,Thursday,8,2,February,1,1,2024,0,0,FR
54,2024-02-23,2024-02,2024-Q1,202402,23,Friday,8,2,February,1,1,2024,0,0,FR
55,2024-02-24,2024-02,2024-Q1,202402,24,Saturday,8,2,February,1,1,2024,1,0,FR
56,2024-02-25,2024-02,2024-Q1,202402,25,Sunday,8,2,February,1,1,2024,1,0,FR
57,2024-02-26,2024-02,2024-Q1,202402,26,Monday,9,2,February,1,1,2024,0,0,FR
58,2024-02-27,2024-02,2024-Q1,202402,27,Tuesday,9,2,February,1,1,2024,0,0,FR
59,2024-02-28,2024-02,2024-Q1,202402,28,Wednesday,9,2,February,1,1,2024,0,0,FR
60,2024-02-29,2024-02,2024-Q1,202402,29,Thursday,9,2,February,1,1,2024,0,0,FR
61,2024-03-01,2024-03,2024-Q1,202403,1,Friday,9,3,March,1,1,2024,0,0,FR
62,2024-03-02,2024-03,2024-Q1,202403,2,Saturday,9,3,March,1,1,2024,1,0,FR
63,2024-03-03,2024-03,2024-Q1,202403,3,Sunday,9,3,March,1,1,2024,1,0,FR
64,2024-03-04,2024-03,2024-Q1,202403,4,Monday,10,3,March,1,1,2024,0,0,FR
