fact_satisfaction_id,sk_date,sk_client,sk_order,satisfaction_score,satisfaction_band,complaint_flag,nps_class,resolution_hours
1,823,11,779,4.6,Excellent,0,Promoter,21.22
2,722,8,1585,4.4,Good,0,Passive,60.27
3,984,19,1669,4.7,Excellent,0,Promoter,27.79
4,688,8,1695,3.8,Average,1,Passive,80.87
5,109,2,1166,3.9,Average,0,Passive,25.91
6,1519,29,1960,3.8,Average,0,Passive,68.94
7,2007,25,29,3.7,Average,1,Passive,28.18
8,1686,29,877,4.5,Excellent,0,Promoter,63.76
9,25,10,1866,4.5,Excellent,0,Promoter,24.43
10,1232,17,2423,4.3,Good,0,Passive,41.42
11,269,4,530,4.3,Good,0,Passive,34.01
12,1191,11,725,4.4,Good,1,Passive,34.14
13,1779,27,1005,4.8,Excellent,0,Promoter,52.61
14,1727,29,1638,4.7,Excellent,0,Promoter,36.08
15,311,1,396,4.3,Good,0,Passive,65.59
16,689,9,2339,4.6,Excellent,0,Promoter,25.24
17,66,10,1548,3.5,Average,1,Passive,78.12
18,1891,26,1207,5.0,Excellent,0,Promoter,45.62
19,317,1,2058,3.6,Average,0,Passive,32.5
20,2084,26,37,4.7,Excellent,0,Promoter,79.79
21,770,14,2180,4.8,Excellent,0,Promoter,42.33
22,1125,16,2489,4.4,Good,0,Passive,44.63
23,106,8,2446,4.6,Excellent,0,Promoter,23.62
24,1603,21,1121,3.2,Average,1,Detractor,199.2
25,242,6,718,3.9,Average,1,Passive,126.38
26,1565,25,348,4.2,Good,0,Passive,83.78
27,2141,21,684,4.4,Good,0,Passive,76.85
28,484,6,2498,4.8,Excellent,0,Promoter,18.66
29,1605,25,1764,4.3,Good,0,Passive,29.35
30,891,13,52,4.5,Excellent,0,Promoter,11.13
31,1468,29,791,4.5,Excellent,0,Promoter,49.85
32,1720,24,1403,4.5,Excellent,0,Promoter,65.9
33,1614,29,2212,4.6,Excellent,0,Promoter,28.81
34,1453,17,18,4.2,Good,1,Passive,150.68
35,1629,21,1194,3.9,Average,0,Passive,35.93
36,386,5,2106,4.5,Excellent,0,Promoter,64.77
37,1351,12,212,4.9,Excellent,0,Promoter,73.47
38,611,6,2319,4.3,Good,0,Passive,34.91
39,1578,21,1118,3.4,Average,0,Detractor,48.49
40,30,8,1487,4.1,Good,0,Passive,33.81
41,605,2,1524,4.0,Good,0,Passive,31.87
42,1183,18,1804,3.9,Average,1,Passive,128.85
43,298,8,2244,4.3,Good,0,Passive,49.42
44,1342,14,1996,3.9,Average,1,Passive,55.62
45,489,9,207,4.7,Excellent,0,Promoter,21.77
46,695,5,668,5.0,Excellent,0,Promoter,96.95
47,316,7,818,3.2,Average,1,Detractor,131.66
48,1125,19,470,3.3,Average,0,Detractor,43.44
49,379,4,2411,4.2,Good,0,Passive,86.98
50,708,10,139,4.0,Good,1,Passive,40.85
51,1579,23,1505,3.8,Average,0,Passive,88.88
52,1966,29,1964,3.8,Average,1,Passive,59.86
53,1822,27,198,4.8,Excellent,0,Promoter,87.4
54,1377,13,680,4.5,Excellent,0,Promoter,50.36
55,1895,30,629,3.8,Average,0,Passive,23.25
56,122,1,1317,4.5,Excellent,0,Promoter,18.43
57,594,2,89,4.3,Good,1,Passive,121.86
58,1735,23,872,4.5,Excellent,0,Promoter,12.51
59,162,10,39,3.5,Average,1,Passive,79.02
60,801,11,1016,5.0,Excellent,0,Promoter,54.38
61,805,15,1582,5.0,Excellent,0,Promoter,40.21
62,1971,22,2417,3.4,Average,0,Detractor,68.48
63,437,2,78,4.4,Good,1,Passive,13.37
64,791,14,391,4.2,Good,0,Passive,25.14
65,793,16,1185,4.0,Good,0,Passive,28.97
66,1482,22,1333,4.3,Good,0,Passive,49.61
67,768,11,756,3.9,Average,1,Passive,88.99
68,676,9,127,4.2,Good,0,Passive,13.83
69,496,8,683,4.0,Good,1,Passive,39.3
70,2159,30,1750,4.0,Good,0,Passive,62.32
71,1794,23,1619,4.5,Excellent,0,Promoter,83.04
72,947,18,737,3.9,Average,0,Passive,46.09
73,77,4,161,4.1,Good,0,Passive,37.77
74,2075,22,1297,4.6,Excellent,0,Promoter,53.54
75,788,19,2258,3.7,Average,1,Passive,113.46
76,1848,22,2230,3.7,Average,0,Passive,29.97
77,534,3,158,3.7,Average,1,Passive,50.86
