fact_incident_id,sk_date,sk_incident,sk_driver,sk_vehicle,sk_route,incident_cost_amount,severity_score,severity_band,resolution_hours,accident_flag
1,823,1,34,5,6,291.34,1.39,Low,18.53,0
2,722,1,5,1,2,952.96,1.46,Low,34.36,0
3,984,5,32,7,7,735.27,1.42,Low,20.85,0
4,688,4,13,1,3,3437.75,2.07,Medium,19.21,0
5,109,5,6,3,2,637.79,1.44,Low,18.49,0
6,1519,1,41,10,12,854.44,1.37,Low,18.57,0
7,2007,2,41,9,12,10128.27,3.75,High,124.16,1
8,1686,1,43,10,11,431.2,1.09,Low,26.2,0
9,25,5,11,1,1,1127.32,1.32,Low,8.45,0
10,1232,5,22,8,5,481.57,0.6,Low,12.49,0
11,269,5,14,1,3,928.83,1.04,Low,6.74,0
12,1191,4,25,5,6,2233.93,2.18,Medium,23.21,0
13,1779,1,54,10,12,907.82,0.82,Low,18.09,0
14,1727,1,49,10,10,195.83,0.82,Low,12.57,0
15,311,3,9,3,1,1380.66,2.17,Medium,84.95,0
16,689,3,14,2,4,17407.35,3.09,High,162.32,0
17,66,4,17,1,4,1895.42,2.23,Medium,31.08,0
18,1891,1,44,10,9,800.39,0.64,Low,8.45,0
19,317,1,8,2,3,555.9,1.27,Low,8.34,0
20,2084,1,43,10,11,760.14,1.48,Low,17.24,0
21,770,3,21,6,7,1612.99,2.78,Medium,14.21,0
22,1125,1,24,6,6,543.58,1.21,Low,27.68,0
23,106,5,16,2,1,531.96,0.94,Low,6.24,0
24,1603,4,53,11,11,2530.1,2.27,Medium,59.89,0
25,242,4,10,2,3,2890.81,2.82,Medium,34.93,0
26,1565,1,42,9,11,669.45,0.65,Low,13.32,0
27,2141,3,38,9,10,15195.5,3.77,High,80.97,0
28,484,1,17,2,3,196.11,1.4,Low,12.77,0
29,1605,1,47,9,12,318.57,0.97,Low,12.75,0
30,891,3,21,6,8,3833.92,2.8,Medium,30.56,0
31,1468,1,43,9,12,717.56,1.29,Low,18.86,0
32,1720,1,38,10,12,306.14,0.86,Low,4.0,0
33,1614,5,47,10,9,489.84,0.9,Low,8.16,0
34,1453,1,27,5,7,960.39,0.74,Low,4.74,0
35,1629,1,45,9,11,362.35,1.1,Low,10.22,0
36,386,3,3,2,1,2757.37,2.8,Medium,31.23,0
37,1351,3,20,6,6,1113.38,2.08,Medium,25.82,0
38,611,1,3,4,3,367.16,0.74,Low,1.81,0
39,1578,1,52,10,11,8529.54,4.68,High,189.12,0
40,30,1,13,1,2,663.42,1.27,Low,20.2,0
41,605,5,1,1,2,367.41,1.34,Low,13.2,0
42,1183,2,33,5,7,13514.44,3.71,High,77.92,1
43,298,5,11,3,4,443.67,0.64,Low,6.19,0
44,1342,4,28,6,8,1222.62,2.25,Medium,52.14,0
45,489,1,16,2,4,407.68,1.25,Low,19.68,0
46,695,5,7,1,3,347.68,0.6,Low,16.51,0
47,316,4,13,2,1,1463.83,2.32,Medium,83.04,0
48,1125,1,28,6,6,919.37,0.81,Low,8.87,0
49,379,5,12,1,3,448.63,1.42,Low,5.02,0
50,708,2,14,2,1,14179.86,3.84,High,148.74,1
51,1579,1,43,9,11,283.22,1.16,Low,4.88,0
52,1966,1,53,10,12,6453.51,4.57,High,139.94,0
53,1822,1,47,10,11,495.45,1.35,Low,7.96,0
54,1377,5,34,6,5,738.09,1.07,Low,18.23,0
55,1895,1,51,10,11,594.55,1.07,Low,8.31,0
56,122,1,14,1,1,225.29,0.9,Low,19.89,0
57,594,4,2,2,3,1372.02,2.56,Medium,48.04,0
58,1735,3,47,9,10,2183.03,2.47,Medium,18.31,0
59,162,4,2,1,2,2675.12,2.57,Medium,36.0,0
60,801,1,36,6,8,426.67,1.03,Low,19.72,0
61,805,3,32,6,6,2312.46,3.63,Medium,46.4,0
62,1971,3,53,10,9,5852.89,3.87,High,103.24,0
63,437,4,2,2,4,1305.08,2.44,Medium,56.13,0
64,791,1,29,6,5,239.15,1.24,Low,20.77,0
65,793,1,24,6,7,807.1,0.65,Low,17.45,0
66,1482,1,42,9,9,4110.64,4.39,High,89.5,0
67,768,4,21,6,8,1378.07,2.89,Medium,30.51,0
68,676,5,11,1,3,601.44,0.67,Low,9.29,0
69,496,2,9,3,4,7492.47,4.59,High,55.25,1
