fact_purchase_id,sk_date,sk_supplier,sk_product,sk_order,quantity_units,purchase_unit_price,purchase_amount,planned_delay_days,real_delay_days,delay_gap_days
1,823,9,5,779,8.0,374.06,2992.47,9.81,10.98,1.18
2,722,4,3,1585,15.0,535.22,8028.35,6.47,6.82,0.35
3,984,15,4,1669,13.0,319.81,4157.48,5.98,5.64,-0.34
4,688,8,1,1695,63.0,509.01,32067.48,2.04,1.54,-0.5
5,109,2,3,1166,48.0,520.93,25004.87,7.45,7.25,-0.21
6,1519,24,2,1960,77.0,297.46,22904.42,2.95,1.9,-1.05
7,2007,20,1,29,55.0,515.95,28377.12,3.02,3.33,0.32
8,1686,23,2,877,76.0,278.28,21148.93,2.17,3.49,1.33
9,25,7,4,1866,20.0,299.47,5989.46,4.69,4.56,-0.13
10,1232,16,2,2423,16.0,278.7,4459.22,2.44,1.83,-0.62
11,269,1,1,530,21.0,548.5,11518.54,3.39,2.55,-0.84
12,1191,9,3,725,12.0,535.46,6425.51,7.82,7.34,-0.47
13,1779,21,1,1005,59.0,547.01,32273.5,1.56,3.2,1.64
14,1727,20,3,1638,20.0,527.05,10541.01,9.54,7.08,-2.45
15,311,4,1,396,69.0,550.19,37963.28,1.76,3.93,2.17
16,689,7,1,2339,64.0,557.4,35673.91,3.14,4.38,1.24
17,66,3,1,1548,40.0,524.95,20998.11,1.33,1.59,0.27
18,1891,17,4,1207,80.0,299.35,23947.76,4.09,4.38,0.29
19,317,4,5,2058,17.0,401.31,6822.35,10.77,9.77,-0.99
20,2084,19,3,37,21.0,522.33,10968.98,7.51,7.55,0.04
21,770,14,5,2180,71.0,363.21,25787.91,8.38,10.28,1.9
22,1125,11,3,2489,17.0,494.55,8407.42,6.88,7.78,0.91
23,106,4,1,2446,112.0,538.18,60275.82,3.67,4.31,0.64
24,1603,23,1,1121,50.0,511.41,25570.68,2.41,1.74,-0.66
25,242,6,5,718,26.0,397.56,10336.56,8.7,9.18,0.48
26,1565,17,3,348,12.0,527.73,6332.8,7.26,7.09,-0.17
27,2141,22,2,684,53.0,299.94,15897.02,2.07,2.36,0.29
28,484,6,1,2498,74.0,519.48,38441.72,2.32,3.03,0.71
29,1605,22,2,1764,24.0,287.67,6904.18,2.79,2.72,-0.07
30,891,11,1,52,102.0,531.76,54239.85,3.13,1.9,-1.23
31,1468,17,3,791,29.0,523.16,15171.73,9.35,8.25,-1.09
32,1720,18,2,1403,23.0,288.26,6629.88,1.43,1.7,0.27
33,1614,19,3,2212,18.0,500.88,9015.93,4.61,4.81,0.19
34,1453,13,4,18,56.0,303.46,16993.53,4.2,4.8,0.6
35,1629,21,1,1194,38.0,544.81,20702.91,2.52,3.71,1.19
36,386,3,1,2106,81.0,553.56,44838.27,3.03,4.56,1.53
37,1351,13,3,212,15.0,552.37,8285.58,10.36,10.45,0.1
38,611,3,4,2319,77.0,309.53,23833.47,3.03,2.38,-0.65
39,1578,20,1,1118,101.0,521.1,52630.65,2.25,2.45,0.2
40,30,7,3,1487,24.0,536.36,12872.61,12.22,12.87,0.65
41,605,2,4,1524,27.0,325.3,8783.21,2.97,3.62,0.65
42,1183,11,1,1804,52.0,524.55,27276.59,1.53,1.4,-0.13
43,298,1,5,2244,70.0,380.75,26652.46,9.76,10.17,0.41
44,1342,15,5,1996,26.0,369.2,9599.28,10.35,12.39,2.05
45,489,3,3,207,16.0,493.99,7903.89,8.57,5.75,-2.82
46,695,8,5,668,27.0,371.86,10040.23,5.4,4.72,-0.68
47,316,3,2,818,87.0,273.67,23809.2,3.97,4.5,0.53
48,1125,16,1,470,49.0,526.66,25806.19,2.82,3.18,0.36
49,379,4,1,2411,31.0,517.29,16035.99,1.38,1.99,0.61
50,708,5,4,139,53.0,304.05,16114.71,5.49,7.67,2.18
51,1579,18,4,1505,57.0,310.72,17711.26,2.82,3.44,0.63
52,1966,18,4,1964,36.0,303.3,10918.8,3.62,3.21,-0.41
53,1822,17,3,198,11.0,520.36,5724.0,8.76,10.51,1.76
54,1377,11,2,680,86.0,279.75,24058.78,2.46,5.51,3.05
55,1895,19,1,629,18.0,555.21,9993.71,1.96,1.29,-0.67
56,122,5,5,1317,49.0,391.89,19202.79,7.79,11.12,3.33
57,594,5,2,89,38.0,282.31,10727.86,3.14,4.59,1.45
58,1735,23,1,872,63.0,497.7,31354.89,3.91,3.15,-0.76
59,162,5,1,39,88.0,508.08,44711.27,2.35,1.62,-0.73
60,801,9,4,1016,56.0,322.55,18062.97,3.26,3.87,0.6
61,805,13,5,1582,12.0,361.4,4336.79,6.8,8.16,1.36
62,1971,22,2,2417,63.0,299.79,18886.74,3.47,1.68,-1.79
63,437,5,2,78,103.0,289.71,29840.57,3.46,4.57,1.12
64,791,11,4,391,61.0,319.33,19479.43,3.28,3.98,0.7
65,793,9,2,1185,79.0,296.35,23411.64,2.85,3.75,0.9
66,1482,23,4,1333,42.0,314.78,13220.73,5.73,6.2,0.47
67,768,10,5,756,16.0,369.3,5908.78,8.44,8.85,0.41
68,676,6,1,127,76.0,509.46,38719.14,1.83,0.9,-0.94
69,496,7,4,683,40.0,321.62,12864.71,3.67,4.45,0.78
70,2159,19,4,1750,24.0,298.89,7173.35,5.44,5.85,0.41
71,1794,21,4,1619,34.0,308.4,10485.71,4.81,6.2,1.39
72,947,15,1,737,23.0,517.32,11898.36,2.49,3.51,1.03
73,77,6,2,161,87.0,299.07,26019.46,1.81,3.01,1.2
74,2075,24,1,1297,102.0,528.72,53929.6,2.19,4.4,2.21
75,788,9,2,2258,35.0,295.61,10346.2,1.16,2.05,0.89
76,1848,24,3,2230,24.0,537.57,12901.76,5.44,4.63,-0.81
77,534,2,2,158,31.0,293.2,9089.12,1.66,2.19,0.54
78,276,3,4,1898,59.0,300.6,17735.65,4.07,4.63,0.56
79,1685,20,5,2304,34.0,369.33,12557.13,12.65,13.27,0.61
80,1321,12,3,1741,20.0,526.67,10533.31,7.13,9.14,2.01
81,507,1,1,1805,15.0,545.29,8179.4,2.33,3.8,1.47
82,1962,19,4,2316,43.0,303.73,13060.43,3.38,5.21,1.83
83,1193,12,1,459,48.0,549.46,26374.01,2.1,3.89,1.79
84,275,5,3,257,26.0,508.35,13217.06,6.07,7.64,1.57
85,1546,18,5,1840,13.0,379.6,4934.85,6.0,6.05,0.05
86,1267,13,4,34,40.0,320.9,12835.97,5.69,4.03,-1.66
87,1868,17,2,1120,24.0,286.01,6864.19,1.99,3.46,1.48
88,1757,23,2,992,113.0,296.32,33484.29,3.07,4.95,1.88
89,2074,24,4,2016,66.0,319.37,21078.31,6.59,6.18,-0.41
90,917,13,4,1515,45.0,306.2,13778.99,5.09,5.15,0.06
91,736,12,4,1793,26.0,312.87,8134.63,3.41,3.59,0.18
92,2168,20,1,240,31.0,521.38,16162.64,2.26,2.15,-0.11
93,1288,16,5,2122,18.0,386.78,6961.98,9.11,10.65,1.53
94,1669,23,3,367,28.0,524.96,14698.99,8.23,10.54,2.31
95,1080,14,5,570,32.0,370.89,11868.38,8.21,7.15,-1.07
96,754,9,5,130,12.0,370.29,4443.48,5.97,7.07,1.1
97,618,4,5,1756,9.0,405.84,3652.52,8.22,8.66,0.43
98,2137,20,4,1710,27.0,314.79,8499.26,4.52,4.15,-0.37
99,1814,23,2,591,62.0,299.24,18552.82,3.59,3.9,0.31
100,41,7,3,1197,19.0,526.87,10010.48,8.67,9.86,1.18
101,2084,17,4,2377,72.0,306.24,22048.95,4.63,4.94,0.31
102,1954,17,5,1993,20.0,378.39,7567.82,7.14,9.43,2.29
103,2146,18,5,1847,17.0,388.92,6611.64,8.08,6.6,-1.48
104,624,3,2,1828,60.0,298.03,17881.83,2.29,1.37,-0.92
105,1292,13,4,599,47.0,306.39,14400.46,2.68,2.77,0.09
106,978,13,1,461,182.0,511.95,93175.18,1.87,0.34,-1.52
107,330,2,4,491,48.0,300.26,14412.33,4.18,4.89,0.72
108,486,3,3,2203,20.0,531.52,10630.36,10.55,11.28,0.73
109,858,11,2,996,48.0,304.04,14593.8,2.45,2.5,0.05
110,197,4,1,2305,42.0,524.58,22032.53,1.91,0.3,-1.61
111,1324,14,4,2093,61.0,298.75,18223.64,4.32,3.76,-0.56
112,344,4,3,320,17.0,512.34,8709.79,11.18,11.55,0.37
113,1216,12,4,543,61.0,303.21,18495.9,2.56,5.45,2.89
114,1153,9,4,1221,8.0,290.41,2323.26,4.18,4.02,-0.16
115,1938,21,5,2048,30.0,387.21,11616.27,5.32,7.41,2.08
116,133,6,4,1463,41.0,299.09,12262.71,3.24,3.92,0.67
117,788,14,1,1717,112.0,514.95,57674.73,1.65,2.89,1.24
118,543,4,2,1040,94.0,272.25,25591.93,2.96,4.19,1.23
119,1025,15,2,1274,71.0,287.5,20412.29,1.66,0.69,-0.97
120,1781,18,1,254,69.0,502.95,34703.81,1.53,2.04,0.52
