fact_stock_id,sk_date,sk_product,sk_warehouse,stock_theoretical,stock_real,stock_value_amount,safety_stock,stockout_flag,stock_status
1,823,5,4,174.0,147.56,55196.08,72.0,0,Healthy
2,722,3,2,190.0,240.93,128951.34,96.0,0,Overstock
3,984,4,6,143.0,87.32,27925.5,51.0,0,Healthy
4,688,1,1,383.0,61.3,31202.16,134.0,1,Below Safety
5,109,3,3,159.0,103.85,54099.08,69.0,0,Healthy
6,1519,2,7,272.0,30.75,9146.89,98.0,1,Below Safety
7,2007,1,8,216.0,149.65,77211.57,90.0,0,Healthy
8,1686,2,7,328.0,249.6,69457.53,129.0,0,Healthy
9,25,4,1,300.0,215.61,64569.32,138.0,0,Healthy
10,1232,2,4,318.0,247.0,68839.19,126.0,0,Healthy
11,269,1,1,391.0,80.38,44088.57,141.0,1,Below Safety
12,1191,3,6,260.0,252.61,135262.29,110.0,0,Healthy
13,1779,1,9,378.0,187.15,102372.64,179.0,0,Healthy
14,1727,3,7,109.0,117.96,62170.9,59.0,0,Healthy
15,311,1,3,475.0,56.98,31349.97,199.0,1,Below Safety
16,689,1,1,284.0,227.2,126642.39,144.0,0,Healthy
17,66,1,3,187.0,101.2,53125.22,148.0,1,Below Safety
18,1891,4,8,204.0,196.83,58920.46,92.0,0,Healthy
19,317,5,1,146.0,33.94,13620.62,60.0,1,Below Safety
20,2084,3,9,223.0,235.76,123145.1,79.0,0,Overstock
21,770,5,4,79.0,98.71,35852.46,51.0,0,Healthy
22,1125,3,5,155.0,200.12,98970.16,89.0,0,Healthy
23,106,1,3,422.0,280.95,151200.82,165.0,0,Healthy
24,1603,1,9,222.0,313.5,160328.15,124.0,0,Overstock
25,242,5,2,91.0,7.5,2981.7,37.0,1,Below Safety
26,1565,3,7,105.0,57.01,30086.1,37.0,0,Healthy
27,2141,2,9,207.0,131.51,39445.6,89.0,0,Healthy
28,484,1,1,526.0,382.18,198535.9,200.0,0,Healthy
29,1605,2,9,246.0,159.31,45829.39,111.0,0,Healthy
30,891,1,6,416.0,337.69,179571.13,169.0,0,Healthy
31,1468,3,8,205.0,140.35,73425.94,72.0,0,Healthy
