fact_transport_id,sk_date,sk_route,sk_vehicle,sk_driver,sk_carrier,sk_transport_mode,distance_km,duration_hours,transport_cost_amount,transport_cost_per_km,fill_rate,fill_rate_band,co2_kg
1,823,6,5,34,6,2,776.28,6.16,1025.53,1.3211,0.637,Low,179.39
2,722,2,1,5,1,1,313.63,4.38,792.74,2.5276,0.89,High,244.02
3,984,7,7,32,7,1,394.06,3.45,744.14,1.8884,0.777,Medium,235.99
4,688,3,1,13,3,1,1000.99,7.96,2260.46,2.2582,0.654,Low,823.23
5,109,2,3,6,1,1,313.63,5.1,699.61,2.2307,0.964,High,194.38
6,1519,12,10,41,13,1,862.03,10.91,1401.41,1.6257,0.847,Medium,678.08
7,2007,12,9,41,13,1,862.03,12.08,1433.43,1.6629,0.655,Low,733.08
8,1686,11,10,43,15,1,654.72,8.83,1131.85,1.7288,0.815,Medium,457.8
9,25,1,1,11,1,1,465.31,4.04,1013.22,2.1775,0.843,Medium,404.45
10,1232,5,8,22,6,1,288.95,3.12,590.06,2.0421,0.849,Medium,93.4
11,269,3,1,14,4,2,1000.99,8.29,1223.18,1.222,0.634,Low,233.61
12,1191,6,5,25,10,2,776.28,6.68,1266.7,1.6318,0.825,Medium,198.7
13,1779,12,10,54,13,1,862.03,11.35,1472.96,1.7087,0.845,Medium,632.6
14,1727,10,10,49,11,1,349.86,7.23,701.39,2.0048,0.802,Medium,269.02
15,311,1,3,9,1,1,465.31,3.9,896.1,1.9258,0.669,Low,255.55
16,689,4,2,14,1,2,805.11,7.29,1016.5,1.2626,0.603,Low,203.39
17,66,4,1,17,1,1,805.11,8.34,1726.81,2.1448,0.98,High,670.88
18,1891,9,10,44,11,1,616.1,8.19,1186.41,1.9257,0.741,Medium,483.6
19,317,3,2,8,3,1,1000.99,8.37,2186.87,2.1847,0.867,High,715.1
20,2084,11,10,43,13,1,654.72,7.73,1153.92,1.7625,0.772,Medium,507.25
21,770,7,6,21,7,1,394.06,3.31,874.93,2.2203,0.748,Medium,329.58
22,1125,6,6,24,7,1,776.28,9.32,1518.92,1.9567,0.647,Low,544.84
23,106,1,2,16,1,1,465.31,6.25,964.89,2.0736,0.606,Low,364.35
24,1603,11,11,53,13,1,654.72,8.67,919.73,1.4048,0.562,Low,368.17
25,242,3,2,10,3,2,1000.99,9.68,1407.52,1.4061,0.846,Medium,266.92
26,1565,11,9,42,14,1,654.72,7.59,1311.29,2.0028,0.591,Low,536.0
27,2141,10,9,38,15,1,349.86,4.73,684.79,1.9573,0.867,High,281.58
28,484,3,2,17,2,2,1000.99,11.57,1369.5,1.3681,0.887,High,221.18
29,1605,12,9,47,15,1,862.03,11.19,1425.39,1.6535,0.83,Medium,634.6
30,891,8,6,21,8,1,190.14,1.76,463.52,2.4378,0.748,Medium,133.74
31,1468,12,9,43,12,1,862.03,11.53,1363.39,1.5816,0.748,Medium,687.72
32,1720,12,10,38,12,2,862.03,10.71,928.06,1.0766,0.584,Low,219.09
33,1614,9,10,47,13,1,616.1,8.06,1027.36,1.6675,0.496,Low,491.78
34,1453,7,5,27,10,1,394.06,4.72,971.16,2.4645,0.741,Medium,279.42
35,1629,11,9,45,15,1,654.72,8.07,1244.61,1.901,0.839,Medium,491.88
36,386,1,2,3,3,1,465.31,4.51,1159.96,2.4929,0.775,Medium,331.06
37,1351,6,6,20,9,1,776.28,7.9,1961.78,2.5272,0.735,Medium,549.91
38,611,3,4,3,4,2,1000.99,8.72,1140.03,1.1389,0.715,Medium,95.37
39,1578,11,10,52,11,1,654.72,10.88,1327.98,2.0283,0.804,Medium,513.64
40,30,2,1,13,1,1,313.63,4.59,762.31,2.4306,0.535,Low,237.55
41,605,2,1,1,2,1,313.63,4.56,762.28,2.4305,0.586,Low,238.1
42,1183,7,5,33,6,1,394.06,4.17,801.85,2.0348,0.669,Low,288.82
43,298,4,3,11,1,1,805.11,6.46,1447.38,1.7977,0.845,Medium,446.0
44,1342,8,6,28,7,1,190.14,1.8,450.45,2.369,0.754,Medium,145.57
45,489,4,2,16,4,1,805.11,6.5,1434.54,1.7818,0.704,Medium,656.83
46,695,3,1,7,2,1,1000.99,10.27,2162.44,2.1603,0.763,Medium,717.66
47,316,1,2,13,4,1,465.31,5.38,828.01,1.7795,0.867,High,339.61
48,1125,6,6,28,10,2,776.28,8.8,1189.09,1.5318,0.833,Medium,188.18
49,379,3,1,12,4,1,1000.99,8.82,1758.74,1.757,0.607,Low,732.89
50,708,1,2,14,1,1,465.31,5.18,967.99,2.0803,0.587,Low,336.71
51,1579,11,9,43,14,1,654.72,9.63,1363.51,2.0826,0.64,Low,516.89
52,1966,12,10,53,14,1,862.03,13.64,1688.69,1.959,0.852,Medium,630.27
53,1822,11,10,47,13,1,654.72,7.77,1175.36,1.7952,0.817,Medium,501.52
54,1377,5,6,34,7,1,288.95,2.48,688.3,2.3821,0.721,Medium,232.72
55,1895,11,10,51,14,1,654.72,9.07,1379.95,2.1077,0.678,Low,453.66
56,122,1,1,14,2,1,465.31,3.9,1154.81,2.4818,0.859,Medium,400.38
57,594,3,2,2,3,1,1000.99,10.17,2095.68,2.0936,0.766,Medium,693.66
58,1735,10,9,47,14,1,349.86,4.83,782.85,2.2376,0.677,Low,293.36
