sk_order,order_number,order_type,priority_level,sales_channel,order_status
1,ORD-0000001,Standard,High,B2B,Delivered
2,ORD-0000002,Backorder,Low,EDI,Delivered
3,ORD-0000003,Backorder,Critical,EDI,Delivered
4,ORD-0000004,Express,Low,E-commerce,Delivered
5,ORD-0000005,Backorder,High,EDI,In Transit
6,ORD-0000006,Express,Medium,E-commerce,In Transit
7,ORD-0000007,Express,Medium,E-commerce,In Transit
8,ORD-0000008,Express,Medium,E-commerce,Delivered
9,ORD-0000009,Backorder,High,EDI,Delivered
10,ORD-0000010,Backorder,Critical,EDI,Delivered
11,ORD-0000011,Backorder,Medium,EDI,Delivered
12,ORD-0000012,Express,Medium,E-commerce,In Transit
13,ORD-0000013,Express,High,E-commerce,Delivered
14,ORD-0000014,Backorder,Medium,EDI,In Transit
15,ORD-0000015,Backorder,Medium,EDI,Delivered
16,ORD-0000016,Backorder,Critical,EDI,Delivered
17,ORD-0000017,Backorder,Low,EDI,Delivered
18,ORD-0000018,Standard,Low,B2B,Returned
19,ORD-0000019,Standard,Critical,B2B,Delivered
20,ORD-0000020,Express,Critical,E-commerce,Delivered
21,ORD-0000021,Standard,Medium,B2B,Delivered
22,ORD-0000022,Express,Medium,E-commerce,Delivered
23,ORD-0000023,Backorder,High,EDI,Delivered
24,ORD-0000024,Standard,High,B2B,In Transit
25,ORD-0000025,Backorder,High,EDI,Delivered
26,ORD-0000026,Backorder,High,EDI,In Transit
27,ORD-0000027,Backorder,High,EDI,Delivered
28,ORD-0000028,Express,Critical,E-commerce,Delivered
29,ORD-0000029,Backorder,High,EDI,In Transit
30,ORD-0000030,Backorder,Low,EDI,Delivered
31,ORD-0000031,Standard,Low,B2B,In Transit
32,ORD-0000032,Backorder,High,EDI,Delivered
33,ORD-0000033,Backorder,Critical,EDI,In Transit
34,ORD-0000034,Standard,Low,B2B,Delivered
35,ORD-0000035,Backorder,Medium,EDI,Delivered
36,ORD-0000036,Backorder,Medium,EDI,Delivered
37,ORD-0000037,Standard,Medium,B2B,Delivered
38,ORD-0000038,Backorder,High,EDI,Cancelled
39,ORD-0000039,Backorder,Medium,EDI,Delivered
40,ORD-0000040,Standard,High,B2B,Delivered
41,ORD-0000041,Standard,Medium,B2B,Delivered
42,ORD-0000042,Backorder,Low,EDI,Returned
43,ORD-0000043,Standard,High,B2B,Delivered
44,ORD-0000044,Standard,Low,B2B,Delivered
45,ORD-0000045,Standard,Critical,B2B,Delivered
46,ORD-0000046,Backorder,Medium,EDI,Delivered
47,ORD-0000047,Express,High,E-commerce,Delivered
48,ORD-0000048,Standard,Low,B2B,Delivered
49,ORD-0000049,Standard,High,B2B,Delivered
50,ORD-0000050,Express,High,E-commerce,Cancelled
51,ORD-0000051,Express,High,E-commerce,Delivered
52,ORD-0000052,Standard,Critical,B2B,Delivered
53,ORD-0000053,Backorder,Critical,EDI,Cancelled
54,ORD-0000054,Backorder,High,EDI,Cancelled
