fact_delivery_id,sk_date,sk_order,sk_driver,sk_vehicle,sk_route,sk_client,planned_delay_hours,real_delay_hours,delay_minutes,delay_category,delivered_on_time_flag,service_rate
1,823,779,34,5,6,11,7.89,6.16,0,On Time,1,0.847
2,722,1585,5,1,2,8,3.34,4.38,62.68,Moderate Delay,1,0.707
3,984,1669,32,7,7,19,4.24,3.45,0,On Time,1,0.752
4,688,1695,13,1,3,8,10.21,7.96,0,On Time,1,0.868
5,109,1166,6,3,2,2,3.7,5.1,83.63,Moderate Delay,1,0.817
6,1519,1960,41,10,12,29,9.65,10.91,75.52,Moderate Delay,1,0.755
7,2007,29,41,9,12,25,10.19,12.08,113.23,Moderate Delay,0,0.758
8,1686,877,43,10,11,29,6.91,8.83,115.26,Moderate Delay,0,0.812
9,25,1866,11,1,1,10,5.18,4.04,0,On Time,1,0.805
10,1232,2423,22,8,5,17,2.93,3.12,11.57,On Time,1,0.705
11,269,530,14,1,3,4,10.45,8.29,0,On Time,1,0.795
12,1191,725,25,5,6,11,8.56,6.68,0,On Time,1,0.782
13,1779,1005,54,10,12,27,10.13,11.35,72.99,Moderate Delay,0,0.665
14,1727,1638,49,10,10,29,4.4,7.23,170.05,Moderate Delay,0,0.611
15,311,396,9,3,1,1,5.0,3.9,0,On Time,1,0.735
16,689,2339,14,2,4,9,8.72,7.29,0,On Time,1,0.817
17,66,1548,17,1,4,10,8.29,8.34,3.06,On Time,1,0.764
18,1891,1207,44,10,9,26,7.58,8.19,36.32,Minor Delay,1,0.84
19,317,2058,8,2,3,1,9.94,8.37,0,On Time,1,0.866
20,2084,37,43,10,11,26,7.24,7.73,29.83,Minor Delay,1,0.805
21,770,2180,21,6,7,14,4.25,3.31,0,On Time,1,0.891
22,1125,2489,24,6,6,16,7.72,9.32,96.12,Moderate Delay,1,0.662
23,106,2446,16,2,1,8,5.42,6.25,49.39,Moderate Delay,1,0.83
24,1603,1121,53,11,11,21,6.86,8.67,108.52,Moderate Delay,1,0.68
25,242,718,10,2,3,6,10.18,9.68,0,On Time,1,0.857
26,1565,348,42,9,11,25,7.22,7.59,22.13,Minor Delay,0,0.766
27,2141,684,38,9,10,21,3.92,4.73,48.31,Moderate Delay,0,0.766
28,484,2498,17,2,3,6,11.36,11.57,12.46,On Time,1,0.771
29,1605,1764,47,9,12,25,10.13,11.19,63.49,Moderate Delay,1,0.704
30,891,52,21,6,8,13,2.2,1.76,0,On Time,1,0.911
31,1468,791,43,9,12,29,9.4,11.53,127.63,Moderate Delay,0,0.708
32,1720,1403,38,10,12,24,9.24,10.71,88.4,Moderate Delay,0,0.59
33,1614,2212,47,10,9,29,7.3,8.06,45.87,Moderate Delay,0,0.831
34,1453,18,27,5,7,17,3.91,4.72,48.68,Moderate Delay,1,0.695
35,1629,1194,45,9,11,21,7.06,8.07,60.54,Moderate Delay,1,0.73
36,386,2106,3,2,1,5,4.98,4.51,0,On Time,1,0.873
37,1351,212,20,6,6,12,8.16,7.9,0,On Time,1,0.88
38,611,2319,3,4,3,6,11.18,8.72,0,On Time,1,0.772
39,1578,1118,52,10,11,21,7.39,10.88,209.64,Severe Delay,0,0.639
40,30,1487,13,1,2,8,3.68,4.59,54.68,Moderate Delay,1,0.776
41,605,1524,1,1,2,2,3.28,4.56,76.7,Moderate Delay,1,0.837
42,1183,1804,33,5,7,18,3.87,4.17,18.29,Minor Delay,1,0.719
43,298,2244,11,3,4,8,8.28,6.46,0,On Time,1,0.798
44,1342,1996,28,6,8,14,2.01,1.8,0,On Time,1,0.836
45,489,207,16,2,4,9,7.96,6.5,0,On Time,1,0.82
46,695,668,7,1,3,5,10.29,10.27,0,On Time,1,0.885
47,316,818,13,2,1,7,4.88,5.38,30.48,Minor Delay,1,0.761
48,1125,470,28,6,6,19,7.59,8.8,72.5,Moderate Delay,1,0.666
49,379,2411,12,1,3,4,11.31,8.82,0,On Time,1,0.857
50,708,139,14,2,1,10,5.11,5.18,4.48,On Time,1,0.718
