fact_sales_id,sk_date,sk_client,sk_product,sk_order,quantity_units,unit_sale_price,revenue_amount,cost_amount,margin_amount,margin_rate,margin_band,discount_amount
1,823,11,5,779,8.0,444.89,3392.54,2992.47,400.07,0.1179,Medium,166.6
2,722,8,3,1585,15.0,696.62,9593.34,8257.37,1335.97,0.1393,Medium,855.91
3,984,19,4,1669,13.0,470.68,6098.33,4157.48,1940.85,0.3183,High,20.47
4,688,8,1,1695,63.0,582.22,34609.81,32570.96,2038.85,0.0589,Low,2069.92
5,109,2,3,1166,48.0,679.96,30895.76,25004.87,5890.89,0.1907,Medium,1742.08
6,1519,29,2,1960,77.0,331.28,23758.86,23424.91,333.95,0.0141,Low,1749.88
7,2007,25,1,29,55.0,599.5,32507.68,28377.12,4130.56,0.1271,Medium,464.78
8,1686,29,2,877,76.0,338.75,24764.62,21148.93,3615.69,0.146,Medium,980.11
9,25,10,4,1866,20.0,346.51,6849.86,6254.29,595.57,0.0869,Low,80.36
10,1232,17,2,2423,16.0,315.57,5049.19,4459.22,589.97,0.1168,Medium,0.0
11,269,4,1,530,21.0,661.59,12947.91,11901.78,1046.13,0.0808,Low,945.56
12,1191,11,3,725,12.0,863.77,10340.53,6425.51,3915.02,0.3786,High,24.73
13,1779,27,1,1005,59.0,618.56,35856.01,33333.62,2522.39,0.0703,Low,638.93
14,1727,29,3,1638,20.0,718.88,13711.06,11143.63,2567.43,0.1873,Medium,666.57
15,311,1,1,396,69.0,700.38,46896.8,37963.28,8933.52,0.1905,Medium,1429.45
16,689,9,1,2339,64.0,632.35,38948.13,35673.91,3274.22,0.0841,Low,1522.41
17,66,10,1,1548,40.0,616.08,24642.54,20998.11,3644.43,0.1479,Medium,0.86
18,1891,26,4,1207,80.0,365.26,27987.26,23947.76,4039.5,0.1443,Medium,1233.56
19,317,1,5,2058,17.0,620.25,10459.52,6822.35,3637.17,0.3477,High,84.72
20,2084,26,3,37,21.0,640.77,12644.24,10968.98,1675.26,0.1325,Medium,811.86
21,770,14,5,2180,71.0,486.29,32658.5,25787.91,6870.59,0.2104,Medium,1868.05
22,1125,16,3,2489,17.0,640.87,10798.0,8767.98,2030.02,0.188,Medium,96.74
23,106,8,1,2446,112.0,596.42,60361.42,60275.82,85.6,0.0014,Low,6437.93
24,1603,21,1,1121,50.0,631.67,30416.77,25570.68,4846.09,0.1593,Medium,1166.62
25,242,6,5,718,26.0,513.49,12647.08,10336.56,2310.52,0.1827,Medium,703.73
26,1565,25,3,348,12.0,687.07,7933.97,6532.95,1401.02,0.1766,Medium,310.87
27,2141,21,2,684,53.0,335.87,17490.25,16700.95,789.3,0.0451,Low,310.92
28,484,6,1,2498,74.0,606.94,43608.67,38441.72,5166.95,0.1185,Medium,1304.53
29,1605,25,2,1764,24.0,389.01,8815.1,6904.18,1910.92,0.2168,Medium,521.06
30,891,13,1,52,102.0,633.01,62719.5,54239.85,8479.65,0.1352,Medium,1847.44
